Entry	Entry name	Length	Gene names  (ordered locus )	Gene ontology IDs	Cross-reference (InterPro)	Keywords	Keyword ID
P0AA43	RSUA_ECOLI	231	b2183 JW2171	GO:0000455; GO:0003723; GO:0005829; GO:0009982; GO:0120159	IPR042092;IPR020103;IPR006145;IPR000748;IPR018496;IPR002942;IPR036986;	3D-structure;Direct protein sequencing;Isomerase;RNA-binding;Reference proteome;rRNA processing	KW-0002; KW-0413; KW-0694; KW-0698; KW-0903; KW-1185
P0AGD3	SODF_ECOLI	193	b1656 JW1648	GO:0000303; GO:0004784; GO:0005506; GO:0005737; GO:0005829; GO:0006801; GO:0016020; GO:0016491; GO:0019430	IPR001189;IPR019833;IPR019832;IPR019831;IPR036324;IPR036314;	3D-structure;Acetylation;Direct protein sequencing;Iron;Metal-binding;Oxidoreductase;Reference proteome	KW-0002; KW-0007; KW-0408; KW-0479; KW-0560; KW-0903; KW-1185
P30852	SMF_ECOLI	374	b4473 JW5708	GO:0009294	IPR003488;IPR041614;IPR036388;	Reference proteome	KW-1185
P76053	SMRA_ECOLI	187	b1340 JW1334	GO:0003677; GO:0004520	IPR002625;IPR036063;	3D-structure;DNA-binding;Direct protein sequencing;Endonuclease;Hydrolase;Nuclease;Reference proteome	KW-0002; KW-0238; KW-0255; KW-0378; KW-0540; KW-0903; KW-1185
P76112	MNAT_ECOLI	172	b1448 JW5233	GO:0008080; GO:0016747; GO:0103045	IPR016181;IPR000182;	Acyltransferase;Reference proteome;Transferase	KW-0012; KW-0808; KW-1185
P0ACV2	LPXP_ECOLI	306	b2378 JW2375	GO:0005887; GO:0008951; GO:0009103; GO:0009245; GO:0009409; GO:0036104	IPR004960;IPR011920;IPR030857;	Acyltransferase;Cell inner membrane;Cell membrane;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Stress response;Transferase;Transmembrane;Transmembrane helix	KW-0012; KW-0346; KW-0448; KW-0472; KW-0808; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P0AGC5	MLTF_ECOLI	518	b2558 JW2542	GO:0008933; GO:0009253; GO:0009279; GO:0016837; GO:0016998; GO:0071555	IPR023346;IPR023703;IPR001638;IPR000189;IPR008258;	Cell outer membrane;Cell wall biogenesis/degradation;Lyase;Membrane;Reference proteome;Signal	KW-0456; KW-0472; KW-0732; KW-0961; KW-0998; KW-1185
P0A746	MSRB_ECOLI	137	b1778 JW1767	GO:0005506; GO:0005737; GO:0005829; GO:0006979; GO:0008270; GO:0030091; GO:0033743	IPR028427;IPR002579;IPR011057;	3D-structure;Metal-binding;Oxidoreductase;Reference proteome;Zinc	KW-0002; KW-0479; KW-0560; KW-0862; KW-1185
P77165	PAOA_ECOLI	229	b0286 JW0280	GO:0009055; GO:0016903; GO:0042597; GO:0046872; GO:0047770; GO:0051537	IPR002888;IPR036884;IPR036010;IPR001041;IPR006058;IPR012675;IPR006311;	2Fe-2S;3D-structure;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Periplasm;Reference proteome;Signal	KW-0001; KW-0002; KW-0408; KW-0411; KW-0479; KW-0560; KW-0574; KW-0732; KW-1185
P07003	POXB_ECOLI	572	b0871 JW0855	GO:0000287; GO:0005829; GO:0005886; GO:0006090; GO:0008289; GO:0030976; GO:0032991; GO:0042802; GO:0042867; GO:0048039; GO:0050660; GO:0052737	IPR029035;IPR044261;IPR029061;IPR012000;IPR012001;IPR000399;IPR011766;	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;FAD;Flavoprotein;Lipid-binding;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Oxidoreductase;Pyruvate;Reference proteome;Thiamine pyrophosphate;Ubiquinone	KW-0002; KW-0274; KW-0285; KW-0446; KW-0460; KW-0472; KW-0479; KW-0547; KW-0560; KW-0670; KW-0786; KW-0830; KW-0903; KW-0997; KW-1003; KW-1185
P02359	RS7_ECOLI	179	b3341 JW3303	GO:0000028; GO:0000049; GO:0003729; GO:0003735; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627	IPR000235;IPR005717;IPR020606;IPR023798;IPR036823;	3D-structure;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding;tRNA-binding	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0820; KW-0903; KW-1185
P46187	RSEC_ECOLI	159	b2570 JW2554	GO:0005886; GO:0006979; GO:0016021	IPR026268;IPR007359;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P0AGB0	SERB_ECOLI	322	b4388 JW4351	GO:0000287; GO:0004647; GO:0005737; GO:0006564; GO:0008652; GO:0016311; GO:0016791; GO:0036424; GO:0036425	IPR036412;IPR023214;IPR023190;IPR004469;IPR041449;	Amino-acid biosynthesis;Hydrolase;Magnesium;Metal-binding;Reference proteome;Serine biosynthesis	KW-0028; KW-0378; KW-0460; KW-0479; KW-0718; KW-1185
P21170	SPEA_ECOLI	658	b2938 JW2905	GO:0006527; GO:0008295; GO:0008792; GO:0009446; GO:0033388; GO:0042597; GO:0046872	IPR009006;IPR040634;IPR041128;IPR002985;IPR022657;IPR022644;IPR022653;IPR000183;IPR029066;	3D-structure;Decarboxylase;Lyase;Magnesium;Metal-binding;Periplasm;Polyamine biosynthesis;Putrescine biosynthesis;Pyridoxal phosphate;Reference proteome;Spermidine biosynthesis	KW-0002; KW-0210; KW-0456; KW-0460; KW-0479; KW-0574; KW-0620; KW-0661; KW-0663; KW-0745; KW-1185
P0A8W2	SLYA_ECOLI	144	b1642 JW5267	GO:0000976; GO:0003700; GO:0006355; GO:0009405; GO:0045893; GO:2000143; GO:2000144	IPR000835;IPR023187;IPR023071;IPR036388;IPR036390;	Activator;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation;Virulence	KW-0010; KW-0238; KW-0678; KW-0804; KW-0805; KW-0843; KW-1185
P0AGC7	SMP_ECOLI	214	b4387 JW4350	GO:0005886; GO:0016021	IPR019305;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	KW-0472; KW-0732; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P77326	TFAS_ECOLI	114	b2353 JW5383		IPR003458;	Reference proteome	KW-1185
P02929	TONB_ECOLI	239	b1252 JW5195	GO:0005886; GO:0015031; GO:0015343; GO:0015889; GO:0015891; GO:0019904; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0071575; GO:0098002; GO:0098797	IPR003538;IPR006260;IPR037682;	3D-structure;Bacteriocin transport;Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Repeat;Signal-anchor;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0080; KW-0472; KW-0653; KW-0677; KW-0735; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0AAR0	TOMB_ECOLI	124	b0461 JW0450	GO:0003677; GO:0005737; GO:0044010	IPR019693;	Cytoplasm;DNA-binding;Reference proteome	KW-0238; KW-0963; KW-1185
P36938	PGM_ECOLI	546	b0688 JW0675	GO:0000287; GO:0004614; GO:0005829; GO:0005975; GO:0006006	IPR005844;IPR016055;IPR005845;IPR005846;IPR005843;IPR036900;IPR016066;IPR005852;	Carbohydrate metabolism;Cytoplasm;Glucose metabolism;Isomerase;Magnesium;Metal-binding;Phosphoprotein;Reference proteome	KW-0119; KW-0313; KW-0413; KW-0460; KW-0479; KW-0597; KW-0963; KW-1185
P55799	PRP2_ECOLI	218	b2734 JW2704	GO:0008138; GO:0046872; GO:0106306; GO:0106307	IPR004843;IPR029052;IPR006186;	Hydrolase;Manganese;Metal-binding;Protein phosphatase;Reference proteome	KW-0378; KW-0464; KW-0479; KW-0904; KW-1185
P42911	PTPD_ECOLI	263	b3140 JW3109	GO:0005886; GO:0005887; GO:0009401	IPR004704;	Cell inner membrane;Cell membrane;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0598; KW-0762; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0A7D4	PURA_ECOLI	432	b4177 JW4135	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0005829; GO:0006164; GO:0006974; GO:0015949; GO:0016020; GO:0044208; GO:0046040; GO:0046086	IPR018220;IPR033128;IPR042109;IPR042110;IPR042111;IPR001114;IPR027417;	3D-structure;Cytoplasm;Direct protein sequencing;GTP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Purine biosynthesis;Reference proteome	KW-0002; KW-0342; KW-0436; KW-0460; KW-0479; KW-0547; KW-0658; KW-0903; KW-0963; KW-1185
P0A7E5	PYRG_ECOLI	545	b2780 JW2751	GO:0000287; GO:0003883; GO:0005524; GO:0005829; GO:0006241; GO:0006541; GO:0019856; GO:0042802; GO:0044210; GO:0051289; GO:0097268	IPR029062;IPR004468;IPR017456;IPR017926;IPR033828;IPR027417;	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Glutamine amidotransferase;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis;Reference proteome	KW-0002; KW-0067; KW-0315; KW-0436; KW-0460; KW-0479; KW-0547; KW-0665; KW-0903; KW-0963; KW-1185
P33221	PURT_ECOLI	392	b1849 JW1838	GO:0000287; GO:0004644; GO:0005524; GO:0005829; GO:0006189; GO:0008776; GO:0043815	IPR011761;IPR003135;IPR013815;IPR016185;IPR005862;IPR011054;	3D-structure;ATP-binding;Acetylation;Direct protein sequencing;Magnesium;Metal-binding;Nucleotide-binding;Purine biosynthesis;Reference proteome;Transferase	KW-0002; KW-0007; KW-0067; KW-0460; KW-0479; KW-0547; KW-0658; KW-0808; KW-0903; KW-1185
P24230	RECG_ECOLI	693	b3652 JW3627	GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0009314; GO:0009379; GO:0032508	IPR004609;IPR011545;IPR014001;IPR001650;IPR012340;IPR027417;IPR033454;	ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome	KW-0067; KW-0227; KW-0233; KW-0234; KW-0238; KW-0347; KW-0378; KW-0547; KW-1185
P32156	RHAM_ECOLI	104	b3901 JW3872	GO:0005737; GO:0016857; GO:0019301; GO:0062192	IPR011008;IPR013448;IPR008000;	3D-structure;Carbohydrate metabolism;Cytoplasm;Isomerase;Reference proteome;Rhamnose metabolism	KW-0002; KW-0119; KW-0413; KW-0684; KW-0963; KW-1185
P0AGL7	RSME_ECOLI	243	b2946 JW2913	GO:0005737; GO:0070042; GO:0070475	IPR029028;IPR015947;IPR006700;IPR029026;	3D-structure;Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing	KW-0002; KW-0489; KW-0698; KW-0808; KW-0949; KW-0963; KW-1185
P06992	RSMA_ECOLI	273	b0051 JW0050	GO:0000028; GO:0000179; GO:0003690; GO:0003729; GO:0005829; GO:0006364; GO:0019843; GO:0031167; GO:0046677; GO:0052908; GO:0070475	IPR001737;IPR023165;IPR020596;IPR020598;IPR011530;IPR029063;	3D-structure;Antibiotic resistance;Cytoplasm;Direct protein sequencing;Methyltransferase;RNA-binding;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing	KW-0002; KW-0046; KW-0489; KW-0694; KW-0698; KW-0808; KW-0903; KW-0949; KW-0963; KW-1185
P76136	SAFA_ECOLI	65	b1500 JW1494.1	GO:0005887; GO:0010447	IPR031411;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Signal-anchor;Stress response;Transmembrane;Transmembrane helix	KW-0346; KW-0472; KW-0735; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P0A821	SELA_ECOLI	463	b3591 JW3564	GO:0001514; GO:0004125; GO:0005829; GO:0016260; GO:0030170; GO:0042802; GO:0097056	IPR015424;IPR015421;IPR018319;IPR004534;IPR025862;	Cytoplasm;Protein biosynthesis;Pyridoxal phosphate;Reference proteome;Selenium;Transferase	KW-0648; KW-0663; KW-0711; KW-0808; KW-0963; KW-1185
P38052	SFMF_ECOLI	171	b0534 JW5072	GO:0007155; GO:0009289; GO:0043709; GO:0043711	IPR000259;IPR036937;IPR008966;	Disulfide bond;Fimbrium;Reference proteome;Signal	KW-0281; KW-0732; KW-1015; KW-1185
P0AG14	SOHB_ECOLI	349	b1272 JW1264	GO:0004252; GO:0005886; GO:0006508; GO:0016021	IPR029045;IPR002142;IPR013703;	Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Transmembrane;Transmembrane helix	KW-0378; KW-0472; KW-0645; KW-0720; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P0A828	SMG_ECOLI	157	b3284 JW3245		IPR007456;	Reference proteome	KW-1185
P39362	SGCE_ECOLI	210	b4301 JW4263	GO:0004750; GO:0005829; GO:0009052; GO:0019323; GO:0044262; GO:0046872	IPR013785;IPR000056;IPR011060;	Carbohydrate metabolism;Cobalt;Iron;Isomerase;Manganese;Metal-binding;Reference proteome;Zinc	KW-0119; KW-0170; KW-0408; KW-0413; KW-0464; KW-0479; KW-0862; KW-1185
P15082	SRLR_ECOLI	257	b2707 JW2676	GO:0003677; GO:0003700; GO:0009401; GO:0045892	IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;	DNA-binding;Phosphotransferase system;Reference proteome;Repressor;Transcription;Transcription regulation	KW-0238; KW-0598; KW-0678; KW-0804; KW-0805; KW-1185
P0AFH8	OSMY_ECOLI	201	b4376 JW4338	GO:0006970; GO:0006972; GO:0030288; GO:0061077	IPR007055;IPR014004;	Direct protein sequencing;Periplasm;Reference proteome;Repeat;Signal	KW-0574; KW-0677; KW-0732; KW-0903; KW-1185
P09169	OMPT_ECOLI	317	b0565 JW0554	GO:0004175; GO:0004190; GO:0004252; GO:0006508; GO:0009279; GO:0016021; GO:0031230	IPR020080;IPR020079;IPR000036;	3D-structure;Aspartyl protease;Cell outer membrane;Direct protein sequencing;Hydrolase;Membrane;Protease;Reference proteome;Signal;Transmembrane;Transmembrane beta strand	KW-0002; KW-0064; KW-0378; KW-0472; KW-0645; KW-0732; KW-0812; KW-0903; KW-0998; KW-1134; KW-1185
P36672	PTTBC_ECOLI	473	b4240 JW4199	GO:0005886; GO:0008982; GO:0009401; GO:0015574; GO:0015771; GO:0016021; GO:0016301; GO:0034219; GO:0090563; GO:0090589	IPR036878;IPR018113;IPR003352;IPR013013;IPR001996;IPR011296;IPR004719;	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	KW-0418; KW-0472; KW-0597; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P33024	PSUT_ECOLI	416	b2164 JW2151	GO:0005337; GO:0005886; GO:0005887; GO:0015293; GO:1901642	IPR008276;IPR018270;IPR011657;IPR002668;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P37188	PTKB_ECOLI	94	b2093 JW2077	GO:0005829; GO:0008982; GO:0009401; GO:0015796; GO:0019402; GO:0090584	IPR036095;IPR013011;IPR003501;	Cytoplasm;Direct protein sequencing;Galactitol metabolism;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	KW-0298; KW-0597; KW-0598; KW-0762; KW-0808; KW-0813; KW-0903; KW-0963; KW-1185
P56580	PTHB_ECOLI	319	b2703 JW5430	GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:0016301; GO:0090563	IPR011638;IPR011618;IPR004702;	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	KW-0418; KW-0472; KW-0597; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P04983	RBSA_ECOLI	501	b3749 JW3728	GO:0005524; GO:0015407; GO:0015591; GO:0015611; GO:0015752; GO:0043190	IPR003593;IPR003439;IPR017871;IPR015861;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Nucleotide-binding;Reference proteome;Repeat;Sugar transport;Translocase;Transport	KW-0067; KW-0472; KW-0547; KW-0677; KW-0762; KW-0813; KW-0903; KW-0997; KW-1003; KW-1185; KW-1278
P0C079	RELB_ECOLI	79	b1564 JW1556	GO:0000976; GO:0000986; GO:0001217; GO:0006351; GO:0032993	IPR013321;IPR007337;	3D-structure;DNA-binding;Reference proteome;Repressor;Stress response;Toxin-antitoxin system;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0346; KW-0678; KW-0804; KW-0805; KW-1185; KW-1277
P75782	RLMF_ECOLI	308	b0807 JW5107	GO:0005737; GO:0052907; GO:0070475	IPR010286;IPR016909;IPR029063;	Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing	KW-0489; KW-0698; KW-0808; KW-0949; KW-0963; KW-1185
P31667	RPNA_ECOLI	292	b3411 JW3374	GO:0006310; GO:0016888; GO:1990238	IPR010106;IPR006842;	DNA recombination;Endonuclease;Hydrolase;Magnesium;Nuclease;Reference proteome	KW-0233; KW-0255; KW-0378; KW-0460; KW-0540; KW-1185
P0A776	RPPH_ECOLI	176	b2830 JW2798	GO:0000287; GO:0005737; GO:0006402; GO:0008033; GO:0016818; GO:0034353; GO:0050779; GO:0110153; GO:0110154; GO:0110155	IPR020476;IPR015797;IPR020084;IPR000086;IPR022927;	3D-structure;Hydrolase;Magnesium;Manganese;Reference proteome;Zinc;tRNA processing	KW-0002; KW-0378; KW-0460; KW-0464; KW-0819; KW-0862; KW-1185
P0AG96	SECE_ECOLI	127	b3981 JW3944	GO:0005886; GO:0005887; GO:0006616; GO:0006886; GO:0008320; GO:0009306; GO:0015450; GO:0016021; GO:0031522; GO:0032978; GO:0043952; GO:0065002	IPR005807;IPR038379;IPR001901;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0472; KW-0653; KW-0811; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P64559	SDHE_ECOLI	88	b2897 JW2865	GO:0005737; GO:0006105; GO:0017013; GO:0034552	IPR005631;IPR036714;	3D-structure;Chaperone;Cytoplasm;Reference proteome	KW-0002; KW-0143; KW-0963; KW-1185
P0AFY8	SEQA_ECOLI	181	b0687 JW0674	GO:0003688; GO:0005829; GO:0006355; GO:0007062; GO:0009314; GO:0010385; GO:0032297; GO:0032991; GO:0042802; GO:0044729; GO:0090143; GO:1990097	IPR013321;IPR010985;IPR005621;IPR026577;IPR036835;IPR033761;	3D-structure;Cytoplasm;DNA replication inhibitor;DNA-binding;Reference proteome	KW-0002; KW-0236; KW-0238; KW-0963; KW-1185
P0ACG1	STPA_ECOLI	134	b2669 JW2644	GO:0000976; GO:0001217; GO:0003677; GO:0003680; GO:0003681; GO:0003723; GO:0005829; GO:0009295; GO:0016458; GO:0032993; GO:0046983	IPR027444;IPR037150;IPR001801;IPR027454;	3D-structure;Chaperone;Cytoplasm;DNA-binding;RNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0002; KW-0143; KW-0238; KW-0694; KW-0804; KW-0805; KW-0963; KW-1185
P0AA47	PLAP_ECOLI	452	b2014 JW5330	GO:0005886; GO:0006865; GO:0015295; GO:0015489; GO:0015847; GO:0016021; GO:0048870	IPR002293;	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0029; KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P08722	PTV3B_ECOLI	625	b3722 JW3700	GO:0005886; GO:0008982; GO:0009401; GO:0015771; GO:0016021; GO:0016301; GO:0034219; GO:0090563; GO:0090589	IPR011055;IPR036878;IPR018113;IPR001127;IPR003352;IPR013013;IPR011297;IPR001996;IPR004719;	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	KW-0418; KW-0472; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P60624	RL24_ECOLI	104	b3309 JW3271	GO:0000027; GO:0003735; GO:0005829; GO:0006412; GO:0022625; GO:0070180	IPR005824;IPR041988;IPR014722;IPR003256;IPR005825;IPR008991;	3D-structure;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185
P0A7M2	RL28_ECOLI	78	b3637 JW3612	GO:0000027; GO:0003735; GO:0005829; GO:0006412; GO:0019843; GO:0022625	IPR034704;IPR026569;IPR037147;IPR001383;	3D-structure;Direct protein sequencing;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185
P0A8T7	RPOC_ECOLI	1407	b3988 JW3951	GO:0000287; GO:0003677; GO:0003899; GO:0005737; GO:0005829; GO:0006351; GO:0008270; GO:0016020; GO:0046677	IPR012754;IPR000722;IPR006592;IPR007080;IPR007066;IPR042102;IPR007083;IPR007081;IPR038120;	3D-structure;Acetylation;Antibiotic resistance;DNA-directed RNA polymerase;Direct protein sequencing;Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transcription;Transferase;Zinc	KW-0002; KW-0007; KW-0046; KW-0240; KW-0460; KW-0479; KW-0548; KW-0804; KW-0808; KW-0862; KW-0903; KW-1185
P0A8V2	RPOB_ECOLI	1342	b3987 JW3950	GO:0003677; GO:0003899; GO:0005737; GO:0005829; GO:0006351; GO:0016020; GO:0032549; GO:0046677	IPR019462;IPR015712;IPR007120;IPR037033;IPR010243;IPR007121;IPR007644;IPR007642;IPR037034;IPR007645;IPR007641;IPR014724;	3D-structure;Acetylation;Antibiotic resistance;DNA-directed RNA polymerase;Direct protein sequencing;Nucleotidyltransferase;Reference proteome;Transcription;Transferase	KW-0002; KW-0007; KW-0046; KW-0240; KW-0548; KW-0804; KW-0808; KW-0903; KW-1185
P0ACU2	RUTR_ECOLI	212	b1013 JW0998	GO:0000976; GO:0003700; GO:0006355; GO:0045892; GO:0045893	IPR009057;IPR001647;IPR036271;IPR019915;IPR013573;	3D-structure;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185
